USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
khoahung           696   3.4  2.4  6602704 398060   ??  S     1:45PM   2:57.54 com.docker.hyperkit -A -u -F vms/0/hyperkit.pid -c 4 -m 2048M -s 0:0,hostbridge -s 31,lpc -s 1:0,virtio-vpnkit,path=vpnkit.eth.sock,uuid=d8f9fc9a-7a4a-43ae-9b7b-a9b45908b5e8 -U ac812399-17aa-4641-ab25-a2aa50ea68db -s 2:0,virtio-blk,/Users/khoahung/Library/Containers/com.docker.docker/Data/vms/0/data/Docker.raw -s 3,virtio-sock,guest_cid=3,path=vms/0,guest_forwards=2376;1525 -s 4,virtio-rnd -l com1,null,asl,log=vms/0/console-ring -f kexec,/Applications/Docker.app/Contents/Resources/linuxkit/kernel,/Applications/Docker.app/Contents/Resources/linuxkit/initrd.img,earlyprintk=serial console=ttyS0 console=ttyS1 page_poison=1 vsyscall=emulate panic=1 nospec_store_bypass_disable noibrs noibpb no_stf_barrier mitigations=off
_windowserver      150   1.4  0.8  7418488 126508   ??  Ss    1:45PM   3:02.13 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer -daemon
_driverkit         313   0.9  0.0  4806844   2268   ??  Ss    1:45PM   0:29.36 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers com.apple.driverkit.AppleUserUSBHostHIDDeviceKB 0x100000483
khoahung          1564   0.9  0.4  5186148  68268   ??  S     2:11PM   0:06.81 /System/Applications/Utilities/Terminal.app/Contents/MacOS/Terminal
_driverkit         315   0.3  0.0  4814532   2356   ??  Ss    1:45PM   0:12.39 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers com.apple.driverkit.AppleUserHIDEventDriver 0x1000004b7
_trustevaluationagent  2492   0.0  0.0  4362844   1828   ??  Ss    2:44PM   0:00.01 trustevaluationagent
khoahung          2490   0.0  0.1  4362208  10120   ??  S     2:44PM   0:00.06 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
khoahung          2417   0.0  0.0  4268332    736 s000  S+    2:41PM   0:00.00 ./practical07
khoahung          2370   0.0  0.1 106198492  21396   ??  Ss    2:40PM   0:00.11 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
khoahung          2284   0.0  0.1  4406396  11884   ??  S     2:36PM   0:00.13 /System/Library/PrivateFrameworks/AOSKit.framework/Versions/A/XPCServices/com.apple.iCloudHelper.xpc/Contents/MacOS/com.apple.iCloudHelper
_reportmemoryexception  2114   0.0  0.0  4334640   1156   ??  S     2:29PM   0:00.03 /usr/sbin/distnoted agent
khoahung          2112   0.0  0.0  4356840   3416   ??  S     2:29PM   0:00.01 /System/Library/CoreServices/ReportCrash agent
root              2000   0.0  0.0  4345160   1696   ??  Ss    2:25PM   0:00.03 /usr/libexec/logd_helper
khoahung          1814   0.0  0.1  4446596  24420   ??  S     2:18PM   0:00.88 /usr/libexec/remindd
root              1758   0.0  0.1  4377744  13892   ??  Ss    2:16PM   0:00.08 /System/Library/PrivateFrameworks/XprotectFramework.framework/Versions/A/XPCServices/XprotectService.xpc/Contents/MacOS/XprotectService
khoahung          1685   0.0  0.0  4368320   6300   ??  Ss    2:15PM   0:00.03 /Applications/Xcode.app/Contents/SharedFrameworks/DVTSourceControl.framework/Versions/A/XPCServices/com.apple.dt.Xcode.sourcecontrol.WorkingCopyScanner.xpc/Contents/MacOS/com.apple.dt.Xcode.sourcecontrol.WorkingCopyScanner
khoahung          1683   0.0  0.1  4451900  14188   ??  Ss    2:15PM   0:00.28 /Applications/Xcode.app/Contents/SharedFrameworks/SourceKit.framework/Versions/A/XPCServices/com.apple.dt.SKAgent.xpc/Contents/MacOS/com.apple.dt.SKAgent
khoahung          1681   0.0  0.1  4840960  15884   ??  Ss    2:15PM   0:00.13 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
khoahung          1680   0.0  0.1  4862468  10968   ??  Ss    2:15PM   0:00.13 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
khoahung          1679   0.0  0.0  4386088   6384   ??  Ss    2:15PM   0:00.03 /Applications/Xcode.app/Contents/SharedFrameworks/DVTSourceControl.framework/Versions/A/XPCServices/com.apple.dt.Xcode.sourcecontrol.SSHHelper.xpc/Contents/MacOS/com.apple.dt.Xcode.sourcecontrol.SSHHelper
khoahung          1678   0.0  0.1  4444548  10304   ??  Ss    2:15PM   0:00.05 /Applications/Xcode.app/Contents/Frameworks/IDEFoundation.framework/Versions/A/XPCServices/com.apple.dt.Xcode.KeychainService.xpc/Contents/MacOS/com.apple.dt.Xcode.KeychainService
khoahung          1675   0.0  0.1  4458956  19436   ??  Ss    2:15PM   0:00.27 /Applications/Dropbox.app/Contents/PlugIns/garcon.appex/Contents/MacOS/garcon
khoahung          1674   0.0  0.1  4901832  11144   ??  Ss    2:15PM   0:00.05 /System/Library/Frameworks/Quartz.framework/Versions/A/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService
khoahung          1673   0.0  0.4  5166632  74232   ??  Ss    2:15PM   0:02.25 /System/Library/Frameworks/AppKit.framework/Versions/C/XPCServices/com.apple.appkit.xpc.openAndSavePanelService.xpc/Contents/MacOS/com.apple.appkit.xpc.openAndSavePanelService
khoahung          1567   0.0  0.0  4309996   2440 s000  S     2:11PM   0:00.17 -zsh
root              1566   0.0  0.0  4354372   3060   ??  Ss    2:11PM   0:00.01 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
root              1565   0.0  0.0  4383080   6128 s000  Ss    2:11PM   0:00.06 login -pf khoahung
